case_id,view,error_type,full_candidate_count,view_candidate_count,view_candidate_ids,localization_score,localization_status,bbox,manual_review,dino_status,human_ground_truth_used
missingpart-A01,front,missingpart,15,4,LINK_BLUE_5HOLE|PIN_RED_SHORT|PIN_YELLOW|LINK_RED_3HOLE,0.7906677974875143,success,"[{""role"": ""reference"", ""bbox"": [2789, 1715, 4079, 2382], ""color"": ""BLUE"", ""score"": 0.7906677974875143, ""candidate_part_id"": ""LINK_BLUE_5HOLE""}, {""role"": ""reference"", ""bbox"": [3412, 5343, 3629, 5508], ""color"": ""RED"", ""score"": 0.682322415852461, ""candidate_part_id"": ""PIN_RED_SHORT""}, {""role"": ""reference"", ""bbox"": [2970, 2866, 3958, 3239], ""color"": ""YELLOW"", ""score"": 0.6677825244247227, ""candidate_part_id"": ""PIN_YELLOW""}]",True,success,False
missingpart-A01,left,missingpart,15,5,LINK_RED_3HOLE|PIN_RED_SHORT|PIN_YELLOW|LINK_GREEN_5HOLE|ROD_GREEN_LONG,0.8200479381789393,success,"[{""role"": ""reference"", ""bbox"": [3144, 1134, 3464, 2035], ""color"": ""RED"", ""score"": 0.8026686098273166, ""candidate_part_id"": ""LINK_RED_3HOLE""}, {""role"": ""reference"", ""bbox"": [2581, 1057, 2892, 1368], ""color"": ""RED"", ""score"": 0.7422197675475958, ""candidate_part_id"": ""PIN_RED_SHORT""}, {""role"": ""reference"", ""bbox"": [2676, 2009, 2936, 2278], ""color"": ""YELLOW"", ""score"": 0.6376813232534103, ""candidate_part_id"": ""PIN_YELLOW""}]",True,not_run,False
missingpart-A01,right,missingpart,15,8,WHEEL_BLUE_LARGE|WHEEL_BLUE_SMALL|ROD_GREEN_LONG|PIN_RED_SHORT|LINK_GREEN_5HOLE|PIN_YELLOW|LINK_BLUE_5HOLE|LINK_RED_3HOLE,0.7889798098702883,success,"[{""role"": ""reference"", ""bbox"": [2806, 3066, 3499, 4936], ""color"": ""GREEN"", ""score"": 0.6955011798161694, ""candidate_part_id"": ""LINK_GREEN_5HOLE""}, {""role"": ""reference"", ""bbox"": [3655, 684, 3932, 1117], ""color"": ""RED"", ""score"": 0.7056373668956952, ""candidate_part_id"": ""PIN_RED_SHORT""}, {""role"": ""reference"", ""bbox"": [3802, 4780, 4165, 5343], ""color"": ""YELLOW"", ""score"": 0.5346864776129284, ""candidate_part_id"": ""PIN_YELLOW""}, {""role"": ""reference"", ""bbox"": [2962, 2347, 3256, 2650], ""color"": ""GREEN"", ""score"": 0.7133804820769759, ""candidate_part_id"": ""ROD_GREEN_LONG""}, {""role"": ""reference"", ""bbox"": [2477, 1871, 3732, 3152], ""color"": ""BLUE"", ""score"": 0.7773699419761356, ""candidate_part_id"": ""WHEEL_BLUE_LARGE""}, {""role"": ""reference"", ""bbox"": [2477, 1871, 3732, 3152], ""color"": ""BLUE"", ""score"": 0.7773699419761356, ""candidate_part_id"": ""WHEEL_BLUE_SMALL""}]",True,not_run,False
missingpart-A01,top,missingpart,15,5,ROD_GREEN_LONG|PIN_YELLOW|PIN_RED_SHORT|WHEEL_BLUE_LARGE|WHEEL_BLUE_SMALL,0.8436997639209909,success,"[{""role"": ""reference"", ""bbox"": [2754, 4962, 3265, 5222], ""color"": ""RED"", ""score"": 0.5204543943011105, ""candidate_part_id"": ""PIN_RED_SHORT""}, {""role"": ""reference"", ""bbox"": [3265, 5794, 3343, 6071], ""color"": ""YELLOW"", ""score"": 0.6077650101625147, ""candidate_part_id"": ""PIN_YELLOW""}, {""role"": ""reference"", ""bbox"": [3888, 2382, 3984, 2485], ""color"": ""GREEN"", ""score"": 0.6706205151152589, ""candidate_part_id"": ""ROD_GREEN_LONG""}]",True,not_run,False
missingpart-A01,back,missingpart,15,1,ROD_GREEN_LONG,0.650078140631217,success,"[{""role"": ""reference"", ""bbox"": [3906, 3334, 4200, 3672], ""color"": ""GREEN"", ""score"": 0.650078140631217, ""candidate_part_id"": ""ROD_GREEN_LONG""}]",True,not_run,False
missingpart-A01,bottom,missingpart,15,8,LINK_BLUE_5HOLE|WHEEL_BLUE_LARGE|WHEEL_BLUE_SMALL|LINK_RED_3HOLE|LINK_GREEN_5HOLE|PIN_YELLOW|ROD_GREEN_LONG|PIN_RED_SHORT,0.8087460671637656,success,"[{""role"": ""reference"", ""bbox"": [2858, 2044, 4079, 2607], ""color"": ""BLUE"", ""score"": 0.8087460671637656, ""candidate_part_id"": ""LINK_BLUE_5HOLE""}, {""role"": ""reference"", ""bbox"": [970, 3256, 6097, 4616], ""color"": ""GREEN"", ""score"": 0.691085286112335, ""candidate_part_id"": ""LINK_GREEN_5HOLE""}, {""role"": ""reference"", ""bbox"": [589, 2685, 996, 4676], ""color"": ""RED"", ""score"": 0.7902280773961914, ""candidate_part_id"": ""LINK_RED_3HOLE""}, {""role"": ""reference"", ""bbox"": [5473, 3732, 5776, 4261], ""color"": ""RED"", ""score"": 0.6116447147727636, ""candidate_part_id"": ""PIN_RED_SHORT""}, {""role"": ""reference"", ""bbox"": [1057, 3525, 1230, 3802], ""color"": ""YELLOW"", ""score"": 0.6707839295678817, ""candidate_part_id"": ""PIN_YELLOW""}, {""role"": ""reference"", ""bbox"": [3334, 2503, 3603, 2884], ""color"": ""GREEN"", ""score"": 0.620889381082238, ""candidate_part_id"": ""ROD_GREEN_LONG""}]",True,not_run,False
missingpart-B01,front,missingpart,15,2,LINK_BLUE_5HOLE|PIN_YELLOW,0.8028466342873746,success,"[{""role"": ""reference"", ""bbox"": [2789, 1715, 4079, 2382], ""color"": ""BLUE"", ""score"": 0.7906677974875143, ""candidate_part_id"": ""LINK_BLUE_5HOLE""}, {""role"": ""reference"", ""bbox"": [2970, 2866, 3958, 3239], ""color"": ""YELLOW"", ""score"": 0.6613988496628286, ""candidate_part_id"": ""PIN_YELLOW""}]",True,success,False
missingpart-B01,left,missingpart,15,5,LINK_RED_3HOLE|PIN_RED_SHORT|ROD_GREEN_LONG|PIN_YELLOW|LINK_GREEN_5HOLE,0.8200479381789393,success,"[{""role"": ""reference"", ""bbox"": [3144, 1134, 3464, 2035], ""color"": ""RED"", ""score"": 0.8026686098273166, ""candidate_part_id"": ""LINK_RED_3HOLE""}, {""role"": ""reference"", ""bbox"": [3499, 5716, 3793, 6166], ""color"": ""RED"", ""score"": 0.7341348845249693, ""candidate_part_id"": ""PIN_RED_SHORT""}, {""role"": ""reference"", ""bbox"": [3204, 5179, 3273, 5438], ""color"": ""YELLOW"", ""score"": 0.5775581091277187, ""candidate_part_id"": ""PIN_YELLOW""}, {""role"": ""reference"", ""bbox"": [2650, 4148, 2962, 4451], ""color"": ""GREEN"", ""score"": 0.6599596254576017, ""candidate_part_id"": ""ROD_GREEN_LONG""}]",True,not_run,False
missingpart-B01,right,missingpart,15,5,WHEEL_BLUE_LARGE|WHEEL_BLUE_SMALL|ROD_GREEN_LONG|PIN_RED_SHORT|PIN_YELLOW,0.7889798098702883,success,"[{""role"": ""reference"", ""bbox"": [3655, 684, 3932, 1117], ""color"": ""RED"", ""score"": 0.5971161649651737, ""candidate_part_id"": ""PIN_RED_SHORT""}, {""role"": ""reference"", ""bbox"": [3802, 4780, 4165, 5343], ""color"": ""YELLOW"", ""score"": 0.531110056097871, ""candidate_part_id"": ""PIN_YELLOW""}, {""role"": ""reference"", ""bbox"": [2962, 2347, 3256, 2650], ""color"": ""GREEN"", ""score"": 0.7133804820769759, ""candidate_part_id"": ""ROD_GREEN_LONG""}, {""role"": ""reference"", ""bbox"": [2477, 1871, 3732, 3152], ""color"": ""BLUE"", ""score"": 0.7751973031903521, ""candidate_part_id"": ""WHEEL_BLUE_LARGE""}, {""role"": ""reference"", ""bbox"": [2477, 1871, 3732, 3152], ""color"": ""BLUE"", ""score"": 0.7751973031903521, ""candidate_part_id"": ""WHEEL_BLUE_SMALL""}]",True,not_run,False
missingpart-B01,top,missingpart,15,4,ROD_GREEN_LONG|PIN_YELLOW|WHEEL_BLUE_LARGE|WHEEL_BLUE_SMALL,0.8436997639209909,success,"[{""role"": ""reference"", ""bbox"": [3551, 4053, 3689, 4148], ""color"": ""YELLOW"", ""score"": 0.6250203959526484, ""candidate_part_id"": ""PIN_YELLOW""}, {""role"": ""reference"", ""bbox"": [3888, 2382, 3984, 2485], ""color"": ""GREEN"", ""score"": 0.6706205151152589, ""candidate_part_id"": ""ROD_GREEN_LONG""}]",True,not_run,False
